Date,Price,Open,High,Low,Vol,Change%
18/03/2022,41780,40949.47,42427,40161,157634233,-1.04%
19/03/2022,42213,41772.28,42425,41438,90198029.11,2.25%
20/03/2022,41264,42212.66,42292,40931,74659628.22,0.61%
21/03/2022,41011,41263,41544,40544,107564305.4,-3.32%
22/03/2022,42371,41010.41,43333,40878,211796897.7,-1.21%
23/03/2022,42885,42370,42995,41750,118037463.1,-2.60%
24/03/2022,44000,42886.85,44241,42587,166415331.7,-0.77%
25/03/2022,44337,44000,45082,43606,193399113.4,-0.45%
26/03/2022,44536.43,44336,44785,44112,58508017.75,-5.11%
27/03/2022,46813,44536.22,46864,44439,264723369.3,-0.66%
28/03/2022,47120,46810,48192,46663.38,300843664.2,-0.64%
29/03/2022,47422,47120,48102,46952,160233208.8,0.79%
30/03/2022,47049,47423.97,47675,46446,202203863.1,3.22%
31/03/2022,45536,47048.95,47665,45190.19,212097139.4,-1.68%
2001/4/22,46301,45535.78,46740.71,44234,183397941.5,1.03%
2002/4/22,45823,46301.01,47240,45636,104213561.8,-1.24%
2003/4/22,46390,45820,47600,45505,139775284.8,-0.48%
2004/4/22,46611,46388,46900,45111,160625846.1,2.42%
2005/4/22,45481,46594,47173,45359,117611463.5,5.02%
2006/4/22,43195.91,45490.45,45520,43162,252418973.6,-0.61%
2007/4/22,43458,43194.82,43901,42804,104357263.7,2.78%
2008/4/22,42250,43441,43985,42137,184441573.6,-1.25%
2009/4/22,42780,42249.62,42824,42137,82248224.34,1.41%
2010/4/22,42177.52,42780.08,44023,41933,127719606.6,6.19%
2011/4/22,39566,42181,42437,39223,265182705.2,-1.32%
2012/4/22,40088,39560.18,40770,39300,164653031.7,-2.66%
13/04/2022,41155,40096,41555,39607,188001513.3,2.93%
14/04/2022,39948,41166,41511,39575,126451551.7,-1.60%
15/04/2022,40586.36,39948.01,40873,39777,89503879.17,0.44%
16/04/2022,40408,40575,40717,40014,60055123.93,1.73%
17/04/2022,39707.55,40408,40624,39563,65791015.5,-2.81%
18/04/2022,40822,39699.72,41127.51,38547,203779996.4,-1.71%
19/04/2022,41518.32,40823,41777,40601,98761708.18,0.37%
20/04/2022,41364,41514,42223,40905,154373690.1,2.08%
21/04/2022,40502,41364.07,42989,39789,184648932.3,1.92%
22/04/2022,39726,40502,40799,39170,164042321.7,0.71%
23/04/2022,39444,39722.57,40103,39312,75610408.58,-0.09%
24/04/2022,39480.58,39454,39973,38942,86346535.65,-2.47%
25/04/2022,40455.54,39473,40635,38200,243209834.7,5.74%
26/04/2022,38132,40458.37,40809,37727,180371388.9,-2.97%
27/04/2022,39263,38133,39496,37900,164813592,-1.26%
28/04/2022,39757.82,39261.42,40383,38910,184749130.7,2.91%
29/04/2022,38600,39756,39927.18,38200,123261091.5,2.44%
30/04/2022,37660,38616,38811,37633,109755542,-3.06%
