Date,Price,Open,High,Low,Vol,Change%
2002/4/21,58959,58731,60190,58327.99,362777545.4,3.29%
2003/4/21,57020,58958.2,59841,56872,378278490.6,-2.14%
2004/4/21,58240.24,57029,58480,56500,289568081.7,-1.55%
2005/4/21,59145,58241,59250,56850,330930469.2,1.95%
2006/4/21,57991,59145,59499,57401,325718615.2,3.50%
2007/4/21,55962,57994,58639,55555,495191795.4,-3.84%
2008/4/21,58110,55962,58155,55714,260465732.2,-0.04%
2009/4/21,58134,58110,58880,57713,217973066.6,-2.89%
2010/4/21,59812,58134.09,61243,57900,585831174.8,-0.37%
2011/4/21,60032,59817.07,60722,59308,278943610.5,0.26%
2012/4/21,59874,60033,61338,59492,329182773.1,-6.12%
13/04/2021,63537,59887,63555,59859,715801692.5,0.98%
14/04/2021,62914,63519,64829,61306,687494760.6,-0.45%
15/04/2021,63196,62909,63845,62000,417968786.5,2.97%
16/04/2021,61322,63208,63520,60005,707579815.2,2.27%
17/04/2021,59927,61321,62450,59662,420714515.6,6.27%
18/04/2021,56172,59945,60279,50500,1478738658,0.96%
19/04/2021,55630,56171,57500,54256,476680134.3,-1.51%
20/04/2021,56471.15,55619,57099,53337,473916857.5,4.77%
21/04/2021,53780,56471.15,56790,53609,382244974.6,3.80%
22/04/2021,51735.14,53779.81,55500,50575,656368496.2,1.15%
23/04/2021,51138,51741,52131,47560,882146443.4,1.91%
24/04/2021,50161,51138,51201,48852,299974988.9,2.06%
25/04/2021,49129,50149,50671,47112,471595374.4,-10.12%
26/04/2021,54102,49129.09,54387,48831,595712916.8,-1.74%
27/04/2021,55044,54094,55437,53304,398338567.1,0.34%
28/04/2021,54859,55039,56432,53917,316165573.3,2.36%
29/04/2021,53566,54860,55222,52377,379148685.4,-7.59%
30/04/2021,57630,53566,57794,53068,453141192.4,-0.25%
2001/5/21,57774,57632,58326,57000,249433660.5,2.02%
2002/5/21,56605,57774,57900,56050,237549605,-0.96%
2003/5/21,57147,56601,58945,56511,435833391.7,6.82%
2004/5/21,53251,57141,57166,53067,535957375,-7.95%
2005/5/21,57487,53251,57898,52960,440632223.7,1.80%
2006/5/21,56450,57486.6,58343,55282,589263535.2,-1.59%
2007/5/21,57349,56451,58635,55300,397683498.9,-2.70%
2008/5/21,58897,57342,59450,56939,448143802.8,1.05%
2009/5/21,58276,58892,59236.52,56255,494158905.5,4.20%
2010/5/21,55829.63,58286.87,59589.77,53844,753116633.3,-1.60%
2011/5/21,56721.5,55831,56870,54138.74,436123689.4,12.53%
2012/5/21,49614,56717,58000,48611,742922181.8,-0.28%
13/05/2021,49750.65,49580.55,51333,46601.05,1052949509,-0.35%
14/05/2021,49924,49749,51512,48877,301933643.4,6.17%
15/05/2021,46844,49923.31,50737,46644,444485398.4,0.53%
16/05/2021,46597,46844,49870,44021,888545755.2,6.57%
17/05/2021,43534,46587.61,46796,42128,1642284138,1.46%
18/05/2021,42900,43540,45800,42316,459984729.1,14.38%
19/05/2021,36733,42898.49,43600,29563,2491338722,-10.42%
20/05/2021,40561.45,36733.72,42300,34985,1038769545,7.82%
21/05/2021,37391.38,40590,42298.12,33552,871746738.6,-0.44%
22/05/2021,37557,37382.86,38956,35372,509305365.5,7.48%
23/05/2021,34747,37575,38384,31230,903202496.9,-11.79%
24/05/2021,38845,34747,39966,34500,587729115.2,1.15%
25/05/2021,38396.85,38851,39829.43,36455,298232109.2,-2.35%
26/05/2021,39301,38374,40884,37851.58,338383535.3,1.94%
27/05/2021,38537,39303,40500,37221,214013388.8,7.46%
28/05/2021,35661,38537.04,38889,34721,364435569.9,3.05%
29/05/2021,34574,35660.87,37381,33617,268442774.9,-3.01%
30/05/2021,35614,34587.4,36419,33367,214511362.7,-4.68%
31/05/2021,37280,35609,37533,34160,222772753.6,1.63%
2001/6/21,36673,37279.81,37888,35659,193825965.9,-2.47%
2002/6/21,37577,36673,38222,35933,149231914.7,-4.39%
2003/6/21,39226,37582.37,39482,37179,225738828.2,6.07%
2004/6/21,36844,39225.51,39275,35586,218507185.2,3.55%
2005/6/21,35535,36844,37924,34822.57,234088827.9,-0.69%
2006/6/21,35780,35542,36475,35218,232981836.6,6.17%
2007/6/21,33572,35781,36784,33338,334662054.3,0.51%
2008/6/21,33402,33572,34052,31075,431712912.6,-11.87%
2009/6/21,37368,33416,37499,32469,1007950330,1.89%
2010/6/21,36663,37369,38337,35816,350758563.1,-1.84%
2011/6/21,37338,36680,37650,35929,239638059.6,4.75%
2012/6/21,35564,37338,37461.35,34630,262336285.8,-9.66%
13/06/2021,38998.89,35563.59,39374,34800,350548518,-3.87%
14/06/2021,40509,38998.89,40980,38732,394195905.7,0.92%
15/06/2021,40137,40509,41273,39445.89,312217749.9,4.46%
16/06/2021,38346,40143,40460,38121,260495205.9,0.71%
17/06/2021,38073,38345,39519,37387,134718245.8,5.85%
18/06/2021,35845,38074,38184.1,35137,409389287,0.77%
19/06/2021,35570,35846,36447,34819,411407162.8,-0.17%
20/06/2021,35631,35569.33,36226.38,33411,603261267.6,10.96%
21/06/2021,31726.39,35653,35832,31368,744057146.7,-2.67%
22/06/2021,32572,31723.2,33368,29247,875231079.5,-3.44%
23/06/2021,33691,32572.02,34778,31790,307938059.4,-2.89%
24/06/2021,34665,33697.3,35290,32343,168325385.8,8.89%
25/06/2021,31584.73,34657,35495,31264,1189853465,-2.44%
26/06/2021,32355.66,31584,32661,30206,664446210.2,-7.38%
27/06/2021,34744,32348,34794,32066,997592183.1,0.72%
28/06/2021,34494.48,34743,35319,33897,213077809.4,-4.14%
29/06/2021,35922.42,34494.84,36600,34226.75,198063271.3,2.39%
30/06/2021,35063,35918.54,36099,34428,120164509.1,4.30%
2001/7/21,33554.42,35062,35069,32720,192028465,-0.78%
2002/7/21,33816,33519.47,33983,32700,173998196.4,-2.56%
2003/7/21,34682,33818,34948,33350,102888650.8,-1.71%
2004/7/21,35276,34689,35950,34376,103344192.4,4.55%
2005/7/21,33672.37,35278,35280,33126,259828830.1,-1.73%
2006/7/21,34255,33670.52,35196,33555,304350618.9,1.07%
2007/7/21,33889,34255.06,35091,33810,118812155.2,3.05%
2008/7/21,32857,33886,33939,32063,469605492.6,-2.78%
2009/7/21,33769,32846,34059,32237,225045733.7,0.78%
2010/7/21,33505.03,33768,34242,33011,216403689.8,-2.21%
2011/7/21,34244,33503,34590,33316,73683234.74,3.40%
2012/7/21,33078,34249,34655,32600,278139805,1.05%
13/07/2021,32730,33077.77,33337,32190,131733939.3,-0.28%
14/07/2021,32822.64,32729,33128,31588,170431953.6,2.84%
15/07/2021,31890,32821,33200,31150,221853217.4,1.45%
16/07/2021,31428,31893.74,32271,31044,169141113.4,-0.42%
17/07/2021,31560,31427,32000,31210,432613275.6,-0.82%
18/07/2021,31820,31559,32453,31111,394928275.4,3.00%
19/07/2021,30865,31820.48,31928,30500,395063565.4,3.42%
20/07/2021,29809,30866,31079,29313,264644728.4,-7.87%
21/07/2021,32154,29814,32850,29523,265532998.2,-0.52%
22/07/2021,32320,32154,32610,31735,169119412.4,-4.12%
23/07/2021,33650,32320.26,33650,32020,133568321.7,-1.87%
24/07/2021,34279,33650,34527,33422,81010061.95,-3.31%
25/07/2021,35415,34288,35444,33886,98488951.89,-5.24%
26/07/2021,37270,35413,40595,35233,608023978.5,-5.98%
27/07/2021,39500,37265.93,39589,36418,239592252,-1.31%
28/07/2021,40017,39490,40900,38803,319315595,-0.05%
29/07/2021,40036.06,40017,40623,39272,162919501.2,-5.44%
30/07/2021,42214.51,40040,42299.15,38343,327886854.4,1.84%
31/07/2021,41439,42196.27,42398,41051,210873319.7,3.79%
2001/8/21,39867,41440,42532,39493,363392230.5,1.80%
2002/8/21,39149.46,39873,40449,38716,180828843.7,2.38%
2003/8/21,38217,39154,39781,37663,194045026.2,-3.99%
2004/8/21,39743,38219,39965,37519.81,145967524.1,-2.88%
2005/8/21,40887,39738,41352,37318,263105882.3,-4.81%
2006/8/21,42854,40890,43385,39900,276878906.3,-4.00%
2007/8/21,44568,42853,44698,42380,415465585.6,1.74%
2008/8/21,43793,44569,45250,43300,357602985.4,-5.68%
2009/8/21,46282.22,43782.47,46438,42790,496271289,1.45%
2010/8/21,45612,46280.03,46695,44635,290337761.2,0.18%
2011/8/21,45531,45611,46727,45341,197088310.2,2.43%
2012/8/21,44424,45530,46186,43786,250766177.1,-7.68%
13/08/2021,47835,44413,47967,44266,353429140,1.57%
14/08/2021,47084,47836,48141,45935,204903733.8,0.13%
15/08/2021,47022,47084,47369,45471,180157588.2,2.31%
16/08/2021,45937,47023,48069,45689,278391287.5,2.70%
17/08/2021,44695,45932.9,47167,44441,309880481.1,-0.06%
18/08/2021,44721,44692,46010,44266,260162624.4,-4.57%
19/08/2021,46765,44721,47061,43992,278977880.8,-5.49%
20/08/2021,49330.5,46766,49400,46647,298208219.3,1.00%
21/08/2021,48837,49333,49788,48219,191537934.9,-0.88%
22/08/2021,49266,48835,49488,48075,135297937.9,-0.53%
23/08/2021,49525,49267,50558,49055,268511659.8,3.69%
24/08/2021,47698,49523,49860,47555,227641172,-2.71%
25/08/2021,48992.75,47696.46,49255,47142.97,201795944,4.39%
26/08/2021,46840,48992.29,49385,46310,303469286.2,-4.78%
27/08/2021,49079,46836,49159,46363,284448146.1,0.34%
28/08/2021,48914,49079,49310,48385.92,112540504.2,0.23%
29/08/2021,48800,48913.98,49650,47760,197435776.8,3.68%
30/08/2021,47004.84,48801,48924.66,46903,193813518.6,-0.32%
31/08/2021,47157,47003.47,48244,46725,202821841.8,-3.53%
2001/9/21,48823,47142,49139,46590,278649676.3,-0.92%
2002/9/21,49274,48827,50365,48631,244011192.3,-1.48%
2003/9/21,50001,49273.74,51142,48332,366715956.3,0.20%
2004/9/21,49899,50001,50544,49401,118198036,-3.77%
2005/9/21,51780,49899,51900,49470,286815309.5,-1.73%
2006/9/21,52676,51779,52742,51050,255117129,11.06%
2007/9/21,46849,52672,52888,43220,781733698,1.66%
2008/9/21,46070.62,46854,47351,44472,347971547,-0.69%
2009/9/21,46389,46054,47398.58,45546,178757819.8,3.31%
2010/9/21,44852,46396,47044,44155,232367904.2,-0.71%
2011/9/21,45169,44851,45990,44750,114952072.2,-1.93%
2012/9/21,46038.87,45169.77,46466,44774.18,155980878.8,2.34%
13/09/2021,44960,46039,46874,43444,394127372.8,-4.88%
14/09/2021,47152,44958,47238.52,44699,166084443.7,-2.09%
15/09/2021,48137,47134,48444,46724,191820976.5,0.74%
16/09/2021,47782,48137.77,48530,47061,172346432.9,1.02%
17/09/2021,47296,47782,48183,46771,117868683.4,-2.14%
18/09/2021,48308,47296.16,48819,47066,98879736.26,2.21%
19/09/2021,47239,48319,48370.29,46837,107581202.2,8.92%
20/09/2021,43025,47244,47327,42567,543257469.7,5.29%
21/09/2021,40747.96,43025,43625,39678,609586672.1,-6.94%
22/09/2021,43574,40748,44000,40601,367495242,-3.01%
