Date,Price,Open,High,Low,Vol
13/04/2021,553.269,598.212,605.145,533.5,6097883444
14/04/2021,549.788,553.352,593.414,519.061,5206864684
15/04/2021,542.723,549.788,558.324,534.205,2165924618
16/04/2021,508.924,542.745,549.959,487.556,4975202491
17/04/2021,515.342,508.919,548.545,506,2733959525
18/04/2021,482.127,515.432,520.684,416.364,4551574837
19/04/2021,504.668,482.126,540.909,467.235,4833438227
20/04/2021,587.206,504.642,590.656,472.468,4957928259
21/04/2021,544.359,586.959,614.8,535.955,6502790138
22/04/2021,505.65,544.404,584.209,480,6048588272
23/04/2021,526.227,505.674,530.486,447.597,5812742489
24/04/2021,497.13,526.228,529.158,483,2708628223
25/04/2021,505.538,497.187,518.144,478.548,1980701483
26/04/2021,535.358,505.543,550.595,502.01,2583407900
27/04/2021,569.126,535.358,579.885,525.797,2586037847
28/04/2021,563.063,569.126,580,540,2128415419
29/04/2021,600.325,563.053,616.653,554.066,4310661451
30/04/2021,623.585,600.325,628.95,586.328,3559168415
1/5/21,620.81,623.585,645.5,609.459,2259984012
2/5/21,622.071,620.813,629.67,596,1988875769
3/5/21,676.967,622.072,681.576,622,3157870538
4/5/21,610.058,676.991,679.53,605,3859026403
5/5/21,651.969,610.058,657.523,605,2088866292
6/5/21,634.224,652,655.347,621,1635721033
7/5/21,624.628,634.22,645,612.348,1506655544
8/5/21,646.27,624.617,659.182,619.111,1703524579
9/5/21,662.398,646.27,680,630,2261320873
10/5/21,631.543,662.375,692.9,585.059,3013336690
11/5/21,671.2,631.525,673,621.753,1608585740
12/5/21,594.1,671.19,685,580,1936293778
13/05/2021,571.21,594.11,633.45,527,3917493276
14/05/2021,603.47,571.14,616.29,565.98,1538673875
15/05/2021,563.85,603.53,611.54,560,1381755946
16/05/2021,564.41,563.87,607.33,535.01,1690630159
17/05/2021,512.44,564.41,564.41,483.93,2542276498
18/05/2021,508.31,512.46,535,496,1581393751
19/05/2021,334.47,508.33,516.68,250,4860680772
20/05/2021,391.38,334.46,423,284.33,3297036424
21/05/2021,325.75,391.33,415.79,273.89,2930822282
22/05/2021,299.68,325.7,335.51,284.74,2017003029
23/05/2021,260.61,299.63,313.62,211.14,3299759533
24/05/2021,345.33,260.7,350.34,257.43,2929791445
